run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1395	22.38	12367.1	DL.bit2	0.998511	3357	3352	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1395_0_5.root	9
1396	22.38	3180.63	DL.bit2	0	839	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1396_0_5.root	9
1396	3.88	23.7765	DL.bit2	0	9	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1396_1_5.root	9
1397	22.38	26846.6	DL.bit2	0.994767	34591	34410	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1397_0_5.root	9
1398	22.38	35618	DL.bit2	0.998288	9932	9915	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1398_0_5.root	9
1400	22.38	16832.4	DL.bit2	0.999457	1842	1841	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1400_0_5.root	9
1401	22.38	13432	DL.bit2	0.999315	1460	1459	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1401_0_5.root	9
1407	22.38	37662.5	DL.bit2	0.998898	10889	10877	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1407_0_5.root	9
1418	5.12	1003.17	DL.bit2	1	218	218	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1418_0_5.root	9
1420	20.38	18830	DL.bit2	1	2152	2152	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1420_0_5.root	9
1420	5.12	783.731	DL.bit2	1	156	156	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1420_1_5.root	9
1421	22.88	2132.4	DL.bit2	0.998392	1244	1242	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1421_0_5.root	9
1424	20.38	17669.1	DL.bit2	0.998966	1935	1933	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1424_0_5.root	9
1426	22.88	42252.5	DL.bit2	0.998664	11975	11959	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1426_0_5.root	9
1429	22.88	6295.04	DL.bit2	0.998793	2486	2483	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1429_0_5.root	9
1441	22.38	36281.4	DL.bit2	0.998715	10116	10103	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1441_0_5.root	9
1442	22.38	3550.18	DL.bit2	0.998536	1366	1364	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1442_0_5.root	9
1443	22.38	7625.64	DL.bit2	1	806	806	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1443_0_5.root	9
1444	22.38	3988.04	DL.bit2	0.997602	417	416	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1444_0_5.root	9
1447	22.62	4418.93	DL.bit2	1	527	527	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1447_0_5.root	9
1447	4.88	1836.38	DL.bit2	1	372	372	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1447_1_5.root	9
1448	22.62	1826.97	DL.bit2	1	192	192	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1448_0_5.root	9
1449	22.62	4215.37	DL.bit2	1	432	432	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1449_0_5.root	9
1467	22.62	8899.64	DL.bit2	0.998842	2591	2588	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1467_0_5.root	9
1468	22.62	22867	DL.bit2	0.99876	6450	6442	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1468_0_5.root	9
1469	22.62	38107.1	DL.bit2	0.997623	10936	10910	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1469_0_5.root	9
1470	22.62	20881.2	DL.bit2	0.99448	26991	26842	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1470_0_5.root	9
1471	22.62	16456	DL.bit2	0.999174	1211	1210	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1471_0_5.root	11
